id,ts_in,ts_out,side,entry,sl,tp,exit_price,exit_reason,lots,pnl_usd,r_realized,bars_held,session,year
1312,2020-07-16 10:00:00,2020-07-16 10:30:00,-1,1806.0371663768367,1807.5227339914338,1803.0660311476424,1807.8659164205135,sl,0.01,-1.8987500436767917,-1.2310109790409833,2,london,2020
1313,2020-07-16 12:30:00,2020-07-16 13:30:00,-1,1804.7228786808646,1806.369058123374,1801.4305197958454,1806.661307631766,sl,0.01,-2.0084289509014255,-1.1775319876103043,4,london,2020
1314,2020-07-16 15:30:00,2020-07-16 15:45:00,1,1807.3860373895968,1805.1292867163736,1811.899538736043,1804.8450264807084,sl,0.01,-2.611010908888438,-1.1259599649345482,1,ny,2020
1315,2020-07-16 18:00:00,2020-07-16 20:00:00,-1,1805.1511446993038,1807.7278721130433,1799.997689871825,1800.271821305623,tp,0.01,4.809323393680806,1.8936125597389675,8,ny,2020
1316,2020-07-17 12:15:00,2020-07-17 14:30:00,1,1802.9982427989457,1801.8095459750175,1805.3756364468022,1805.0759799570874,tp,0.01,2.0077371581416448,1.7479117604398307,9,london,2020
1317,2020-07-17 18:30:00,2020-07-17 19:15:00,1,1810.9887761675716,1809.1824039605626,1814.6015205815895,1808.869388763635,sl,0.01,-2.189387403936571,-1.1732838867388837,3,ny,2020
1318,2020-07-20 04:30:00,2020-07-20 05:45:00,-1,1806.9979024367242,1808.5309270724697,1803.9318531652332,1808.8237863642948,sl,0.01,-1.8958839275706578,-1.191033650077473,5,asia,2020
1319,2020-07-20 11:30:00,2020-07-20 13:30:00,1,1811.176440162632,1809.6049799321625,1814.3193606235707,1809.334052197405,sl,0.01,-1.9123879652268625,-1.1724050850949232,8,london,2020
1320,2020-07-20 15:30:00,2020-07-20 15:45:00,1,1815.5122935877196,1813.710897709558,1819.1150853440429,1813.4410594132296,sl,0.01,-2.141234174489973,-1.1497940011962775,1,ny,2020
1321,2020-07-20 18:15:00,2020-07-20 21:45:00,-1,1815.538337724327,1817.8808922351343,1810.8532287027122,1818.206890736284,sl,0.01,-2.738553011957101,-1.1391636777909813,14,ny,2020
1322,2020-07-21 07:00:00,2020-07-21 07:45:00,1,1819.197486904203,1817.9154324882672,1821.7615957360747,1817.5791398507718,sl,0.01,-1.6883470534313076,-1.2623076160538922,3,london,2020
1323,2020-07-21 09:45:00,2020-07-21 10:45:00,1,1823.1091050352452,1821.3013182642549,1826.724678577226,1820.9631565421305,sl,0.01,-2.2159484931147015,-1.1870584117280152,4,london,2020
1324,2020-07-21 12:45:00,2020-07-21 13:45:00,1,1824.31294104596,1822.8192965685323,1827.3002300008156,1826.9703550180393,tp,0.01,2.587413972079212,1.7791475898304614,4,london,2020
1325,2020-07-21 16:15:00,2020-07-21 16:45:00,-1,1835.4535420290472,1838.6507364209353,1829.0591532452709,1838.9853707226343,sl,0.01,-3.6018286935871586,-1.1046649845714802,2,ny,2020
1326,2020-07-21 19:15:00,2020-07-21 23:15:00,1,1840.779309886272,1838.2341583173668,1845.8696130240821,1841.3879837145475,timeout,0.01,0.5386738282756414,0.23915032633497904,16,ny,2020
1327,2020-07-22 03:30:00,2020-07-22 04:00:00,1,1844.7713915683712,1842.7533376627616,1848.8074993795906,1842.4288796868098,sl,0.01,-2.4125118815614495,-1.1607776556661733,2,asia,2020
1328,2020-07-22 06:00:00,2020-07-22 07:00:00,1,1858.9952870165714,1855.5073919592567,1865.9710771312011,1855.1646970592833,sl,0.01,-3.9005899572881115,-1.0982526407308826,4,asia,2020
1329,2020-07-22 11:45:00,2020-07-22 12:15:00,-1,1846.2205574070426,1849.7299471681306,1839.2017778848667,1850.0364937597583,sl,0.01,-3.8859363527156527,-1.0873503977890047,2,london,2020
1330,2020-07-22 15:00:00,2020-07-22 16:00:00,-1,1857.2394057643007,1860.326671201094,1851.064874890714,1851.3374524101207,tp,0.01,5.831953354180023,1.911709075559822,4,ny,2020
1331,2020-07-22 18:15:00,2020-07-22 19:15:00,1,1861.6040696170535,1857.2677484489027,1870.276711953355,1869.987056681072,tp,0.01,8.312987064018607,1.9332025325037228,4,ny,2020
1332,2020-07-23 04:15:00,2020-07-23 07:30:00,-1,1867.3005915910583,1870.5996199687906,1860.7025348355933,1870.87421807061,sl,0.01,-3.643626479551649,-1.0832360532794243,13,asia,2020
