id,ts_in,ts_out,side,entry,sl,tp,exit_price,exit_reason,lots,pnl_usd,r_realized,score_in,bars_held,regime,session,c_bos,c_choch,c_ob,c_fvg,c_retest,c_rsi_div,c_regime,c_news_ok
353,2020-07-21 07:15:00,2020-07-21 15:15:00,1,1818.37,1805.55,1839.74,1839.43,tp,0.08,167.93,1.643,75.0,32,bull,london,1,0,1,1,1,0,1,1
354,2020-07-22 04:15:00,2020-07-22 11:30:00,1,1857.35,1831.75,1900.02,1849.58,opposite,0.04,-31.35,-0.303,75.0,29,bull,asia,1,0,1,1,1,0,1,1
355,2020-07-23 01:15:00,2020-07-23 17:15:00,1,1872.85,1844.06,1920.85,1883.15,timeout,0.03,30.69,0.358,75.0,64,bull,asia,1,0,1,1,1,0,1,1
356,2020-07-23 19:15:00,2020-07-24 12:15:00,1,1895.22,1870.82,1935.89,1893.95,timeout,0.04,-5.35,-0.052,75.0,64,bull,ny,1,0,1,1,1,0,1,1
357,2020-07-24 16:45:00,2020-07-27 09:45:00,1,1902.24,1876.37,1945.36,1932.63,timeout,0.04,121.27,1.175,75.0,64,bull,ny,1,0,1,1,1,0,1,1
358,2020-07-28 11:15:00,2020-07-28 17:45:00,-1,1922.93,1952.93,1872.93,1953.2,sl,0.03,-91.02,-1.009,75.0,26,range,london,1,1,1,1,1,0,0,1
359,2020-07-28 23:00:00,2020-07-29 16:00:00,1,1956.63,1926.63,2006.63,1959.14,timeout,0.03,7.33,0.084,75.0,64,bull,off,1,0,1,1,1,0,1,1
360,2020-07-29 22:00:00,2020-07-30 10:15:00,1,1963.64,1933.64,2013.64,1949.96,opposite,0.03,-41.22,-0.456,100.0,45,bull,off,1,1,1,1,1,1,1,1
361,2020-07-30 16:30:00,2020-07-30 18:30:00,1,1959.62,1929.62,2009.62,1948.46,opposite,0.03,-33.7,-0.372,75.0,8,bull,ny,1,0,1,0,1,1,1,1
362,2020-07-31 04:00:00,2020-07-31 20:00:00,1,1961.2,1931.2,2011.2,1969.8,timeout,0.03,25.59,0.287,75.0,64,bull,asia,1,1,1,0,1,0,1,1
363,2020-08-03 18:45:00,2020-08-04 11:45:00,1,1968.61,1939.75,2016.71,1976.22,timeout,0.03,22.61,0.264,87.5,64,bull,ny,1,0,1,1,1,1,1,1
364,2020-08-04 15:15:00,2020-08-04 20:00:00,-1,1974.58,2000.9,1930.69,2001.16,sl,0.04,-106.62,-1.01,75.0,19,bull,ny,1,1,1,1,1,0,0,1
365,2020-08-05 15:15:00,2020-08-06 08:15:00,1,2040.58,2010.97,2089.92,2046.61,timeout,0.03,17.89,0.204,75.0,64,bull,ny,1,0,1,1,1,0,1,1
366,2020-08-06 11:00:00,2020-08-07 04:00:00,1,2045.74,2016.91,2093.79,2069.33,timeout,0.03,70.57,0.818,75.0,64,bull,london,1,0,1,0,1,1,1,1
367,2020-08-10 15:00:00,2020-08-10 17:30:00,-1,2032.06,2062.06,1982.06,2044.23,opposite,0.03,-36.72,-0.406,75.0,10,bear,ny,1,0,1,0,1,1,1,1
