id,ts_in,ts_out,side,entry,sl,tp,exit_price,exit_reason,lots,pnl_usd,r_realized,score_in,bars_held,regime,session,c_bos,c_choch,c_ob,c_fvg,c_retest,c_rsi_div,c_regime,c_news_ok
12,2019-03-19 08:00:00,2019-03-20 10:00:00,1,1305.8670698024396,1295.902492908528,1322.4746979589588,1301.7606878878676,timeout,0.1,-41.76381914572012,-0.4120979704698822,75.0,24,bull,london,1,0,1,1,1,0,1,1
13,2019-03-20 18:00:00,2019-03-20 20:00:00,1,1301.1478383497074,1291.3507293893167,1317.4763532836919,1314.1105361292148,opposite,0.1,128.92697779507384,1.3231145873660322,75.0,2,bull,ny,1,0,1,1,1,1,1,0
14,2019-03-21 12:00:00,2019-03-22 14:00:00,1,1314.5566721003727,1296.806141540955,1344.1408896994021,1311.4956196234211,timeout,0.06,-18.786314861709272,-0.17244850607169457,75.0,24,bull,london,0,1,1,1,1,0,1,1
15,2019-04-01 12:00:00,2019-04-01 21:00:00,-1,1290.8945710507933,1302.4828340236713,1271.58079942933,1288.5383048953245,opposite,0.09,20.576395399219216,0.20333212673750714,75.0,9,bear,london,1,0,1,1,1,0,1,1
16,2019-04-03 17:00:00,2019-04-04 18:00:00,-1,1289.975523784409,1299.5367786845093,1274.0400989509085,1288.0767509732436,timeout,0.1,18.287728111653724,0.19859033474209128,75.0,24,bear,ny,1,1,0,1,0,1,1,1
17,2019-04-05 03:00:00,2019-04-08 04:00:00,-1,1291.2374174641861,1302.9773330686335,1271.6708914567737,1296.5070459706037,timeout,0.08,-42.717028051340606,-0.4488642579697359,75.0,24,bear,asia,0,1,1,1,0,1,1,1
18,2019-04-11 17:00:00,2019-04-12 18:00:00,-1,1296.1230444188725,1307.911313894179,1276.4759286266947,1291.5989471359085,timeout,0.08,35.63277826371217,0.3837795948286423,75.0,24,bull,ny,1,1,1,1,1,0,0,1
19,2019-04-18 10:00:00,2019-04-18 16:00:00,-1,1274.9370078494665,1284.5802413573165,1258.86495200305,1275.9375704926229,opposite,0.1,-10.705626431563996,-0.1037580021620234,75.0,6,bear,london,1,0,1,1,1,0,1,1
20,2019-04-23 11:00:00,2019-04-24 12:00:00,-1,1272.957309065095,1280.9149453413595,1259.694581937987,1273.4669813994685,timeout,0.12,-6.956068012483082,-0.06404820686436778,75.0,24,bear,london,1,0,1,1,1,0,1,1
21,2019-04-30 16:00:00,2019-05-01 11:00:00,1,1282.4237151918874,1272.7837525865978,1298.4903195340366,1280.6167321803941,opposite,0.1,-18.7698301149323,-0.18744709761651024,87.5,18,bull,ny,1,1,1,0,1,1,1,1
22,2019-05-01 23:00:00,2019-05-03 01:00:00,-1,1276.1599734897998,1287.5646544774575,1257.1521718437036,1270.9212366641384,timeout,0.09,46.51863143095226,0.4593497031026823,87.5,24,range,off,1,1,1,1,1,1,0,1
23,2019-05-03 19:00:00,2019-05-06 20:00:00,1,1281.3332259801396,1271.3986514375626,1297.8908502177676,1281.0195235642502,timeout,0.1,-3.837024158893383,-0.03157683447286989,75.0,24,range,ny,1,0,1,1,1,1,0,1
24,2019-05-13 13:00:00,2019-05-13 15:00:00,-1,1283.1512521620969,1291.8695138253424,1268.6208160566873,1291.7488328103932,opposite,0.11,-95.34338713125977,-0.9861576745903363,75.0,2,bull,ny,1,1,1,1,1,0,0,1
25,2019-05-15 14:00:00,2019-05-15 20:00:00,-1,1298.7517504496022,1308.4880357357056,1282.5246083060968,1297.103975248361,opposite,0.1,15.777752012413021,0.16924064495040855,75.0,6,bull,ny,1,0,1,1,1,1,0,1
26,2019-05-16 11:00:00,2019-05-16 17:00:00,1,1296.2299908202476,1286.9898739807577,1311.6301855527308,1286.7391377537824,sl,0.11,-105.16938373111728,-1.0271356121714494,75.0,6,bull,london,1,0,1,0,1,1,1,1
27,2019-05-21 18:00:00,2019-05-22 19:00:00,-1,1273.2313075622496,1281.796346130941,1258.9562432810974,1275.0164850856593,timeout,0.11,-20.406952757505923,-0.208426092783187,75.0,24,bear,ny,1,0,1,1,1,0,1,1
28,2019-05-28 15:00:00,2019-05-29 16:00:00,-1,1278.8094834621375,1286.4042253838506,1266.1515802592821,1282.5780729031023,timeout,0.13,-49.90166273254354,-0.4962103360208432,75.0,24,bear,ny,1,0,1,1,1,0,1,1
29,2019-06-07 19:00:00,2019-06-10 08:00:00,1,1343.3658915775538,1327.560865681133,1369.707601404922,1327.2539915615375,sl,0.06,-97.09140009609784,-1.019416236430525,75.0,12,bull,ny,1,0,1,1,1,0,1,1
30,2019-06-12 08:00:00,2019-06-13 09:00:00,1,1335.3139796998128,1321.9133277348674,1357.6483996413886,1337.4985469926462,timeout,0.07,14.801971049834046,0.16301947834687602,75.0,24,bull,london,1,1,1,1,0,0,1,1
31,2019-06-18 11:00:00,2019-06-19 12:00:00,1,1345.8768402961791,1333.131568994864,1367.1189591317043,1341.9128903793855,timeout,0.08,-32.27159933434865,-0.3110133808124237,87.5,24,bull,london,1,1,1,1,1,0,1,1
32,2019-06-28 06:00:00,2019-07-01 01:00:00,1,1420.0165236106482,1399.6188358192571,1454.0126699296334,1399.2923359335155,sl,0.05,-103.97093838566353,-1.016006710617439,87.5,18,bull,asia,1,1,1,1,1,0,1,1
33,2019-07-05 03:00:00,2019-07-05 15:00:00,1,1416.0434718320003,1396.1057622912847,1449.272987733193,1395.8004043512187,sl,0.05,-101.56533740390759,-1.015315597784308,75.0,12,bull,asia,1,0,1,1,1,0,1,1
34,2019-07-08 04:00:00,2019-07-09 05:00:00,-1,1398.7040792839255,1423.7572164091785,1356.9488507418373,1394.6403950098063,timeout,0.04,15.974737096476675,0.16220261174490072,75.0,24,bear,asia,0,1,1,1,1,0,1,1
35,2019-07-09 15:00:00,2019-07-10 16:00:00,-1,1392.656918216543,1412.1312612609465,1360.199679809204,1406.9536717389235,timeout,0.05,-71.83376761190206,-0.7341327761240722,75.0,24,bear,ny,1,0,1,1,1,0,1,1
36,2019-07-12 16:00:00,2019-07-15 17:00:00,1,1408.291458467282,1388.8276094186112,1440.7312068817332,1410.1491471356276,timeout,0.05,8.938443341728226,0.09544302690081329,75.0,24,bull,ny,1,0,1,0,1,1,1,1
37,2019-07-18 20:00:00,2019-07-19 21:00:00,1,1430.115340307327,1410.8431126234912,1462.2357197803867,1422.8266060514134,timeout,0.05,-36.79367127956798,-0.37819884527551917,87.5,24,bull,ny,1,0,1,1,1,1,1,1
38,2019-07-29 22:00:00,2019-07-30 23:00:00,1,1426.085830274169,1412.9610343764182,1447.9604901037535,1430.3318616107977,timeout,0.07,29.232219356400734,0.3235121802813192,75.0,24,bull,off,1,1,0,1,0,1,1,1
39,2019-07-31 21:00:00,2019-08-01 20:00:00,-1,1417.9206406242233,1434.8068629004135,1389.7769368305728,1435.1230545518863,sl,0.05,-86.36206963831486,-1.0187248305927252,75.0,22,bear,off,1,0,1,0,1,1,1,1
40,2019-08-12 13:00:00,2019-08-13 12:00:00,-1,1503.9042967847658,1528.794905798964,1462.419948427769,1529.1232956198749,sl,0.04,-101.15599534043604,-1.013193322056665,75.0,22,bull,ny,1,0,1,1,1,1,0,1
41,2019-08-13 20:00:00,2019-08-14 21:00:00,-1,1501.1235686459672,1531.1235686459672,1451.1235686459672,1518.4306386861442,timeout,0.03,-52.13121012053098,-0.5769023346725665,75.0,24,bull,ny,1,0,1,1,1,1,0,1
42,2019-08-16 17:00:00,2019-08-19 18:00:00,-1,1504.4885979615333,1532.9406293736943,1457.0685456079316,1502.5966972919907,timeout,0.03,5.465702008627695,0.06649439690741829,75.0,24,bull,ny,1,1,1,1,1,0,0,1
43,2019-08-27 21:00:00,2019-08-28 22:00:00,1,1539.5222712073135,1518.7405388690627,1574.1584917710647,1539.0709952139223,timeout,0.04,-2.0851039735646557,-0.021715032512498827,75.0,24,bull,off,1,0,1,1,1,0,1,1
44,2019-08-29 15:00:00,2019-08-29 23:00:00,1,1543.0322359350598,1518.472966327053,1583.9643519484046,1526.5738122769746,opposite,0.04,-66.11369463234067,-0.6701511861215682,75.0,8,bull,ny,1,0,1,0,1,1,1,1
45,2019-09-03 14:00:00,2019-09-04 15:00:00,1,1531.5561271779034,1511.7505966850588,1564.5653446659776,1541.1798955224897,timeout,0.05,47.76884172293162,0.48591318208129974,87.5,24,bull,ny,1,1,1,1,1,0,1,1
46,2019-09-05 01:00:00,2019-09-05 16:00:00,1,1552.1952312102715,1528.537624427531,1591.624575848172,1528.217992390023,sl,0.04,-96.18895528099372,-1.013510751127251,75.0,15,bull,asia,1,0,1,1,1,0,1,1
47,2019-09-06 06:00:00,2019-09-09 07:00:00,-1,1514.0153843724424,1541.8411726469164,1467.6390705816525,1509.7781021226097,timeout,0.03,12.50184674949836,0.15227896539843436,75.0,24,bear,asia,0,1,1,1,1,0,1,1
48,2019-09-09 20:00:00,2019-09-10 21:00:00,-1,1503.829848791085,1529.7674174601327,1460.6005676760053,1491.1730282593119,timeout,0.03,37.76046159531919,0.4879725117364951,87.5,24,bear,ny,1,0,1,1,1,1,1,1
49,2019-09-17 11:00:00,2019-09-17 18:00:00,-1,1497.3638187389447,1516.6874752926003,1465.1577244828518,1505.0687649919316,opposite,0.05,-38.874731264934645,-0.3987312769502376,75.0,7,bear,london,1,1,1,0,1,0,1,1
50,2019-09-18 23:00:00,2019-09-20 01:00:00,-1,1492.978199409788,1517.9226770963562,1451.4040699321743,1498.436189766455,timeout,0.04,-22.111961426668387,-0.2188055578973314,100.0,24,bear,off,1,1,1,1,1,1,1,1
51,2019-09-23 19:00:00,2019-09-24 20:00:00,1,1523.2108580690708,1502.9665324980663,1556.9514006874117,1531.080029286619,timeout,0.04,31.19668487019291,0.38870997158922665,75.0,24,bull,ny,1,0,1,1,1,0,1,1
52,2019-09-27 20:00:00,2019-09-30 20:00:00,-1,1498.403413003854,1518.6071537062157,1464.7305118332508,1465.0774294709856,tp,0.04,133.0239341314734,1.6494957059596713,75.0,23,bear,ny,1,0,1,1,1,0,1,1
53,2019-10-01 19:00:00,2019-10-02 20:00:00,-1,1482.8821249096034,1510.9721115238508,1436.0654805525244,1503.651689018916,timeout,0.03,-62.51869232793771,-0.7393938770614473,75.0,24,bear,ny,1,0,1,0,1,1,1,1
54,2019-10-04 17:00:00,2019-10-07 18:00:00,-1,1506.3750638497856,1533.5953737593031,1461.0078806672566,1498.8972241561844,timeout,0.03,22.22351908080376,0.2747154502817271,75.0,24,range,ny,1,0,1,1,1,1,0,1
55,2019-10-08 21:00:00,2019-10-09 22:00:00,1,1505.4296390962156,1484.921737186209,1539.6094756128934,1506.7097397603454,timeout,0.04,4.840402656519218,0.06241987453164031,75.0,24,range,off,1,1,1,1,1,0,0,1
56,2019-10-10 07:00:00,2019-10-11 05:00:00,1,1508.7255776289835,1487.955487955725,1543.3423937510809,1496.1997636635203,opposite,0.04,-50.38325586185264,-0.6030698067514901,75.0,21,bull,london,1,0,1,1,1,0,1,1
57,2019-10-15 19:00:00,2019-10-16 20:00:00,-1,1480.389404337585,1498.8019415357023,1449.7018423407226,1489.4779219568943,timeout,0.05,-45.79258809654707,-0.49360484769250906,100.0,24,bear,ny,1,1,1,1,1,1,1,1
58,2019-10-21 12:00:00,2019-10-22 13:00:00,-1,1491.292322721706,1505.469421052888,1467.6638255030691,1488.0056614284094,timeout,0.06,19.299967759778678,0.2318289128366644,75.0,24,bear,london,1,0,1,0,1,1,1,1
59,2019-10-24 19:00:00,2019-10-25 20:00:00,1,1501.3558519529836,1487.2124281870445,1524.9282248962156,1503.348053704405,timeout,0.06,11.533210508528173,0.14085710676498836,75.0,24,bull,ny,1,0,1,1,1,0,1,1
60,2019-10-29 15:00:00,2019-10-30 17:00:00,1,1486.0732093039776,1469.1644019514433,1514.2545548915348,1494.2572691159296,timeout,0.05,40.57029905976005,0.48401165388671813,75.0,24,range,ny,1,0,1,1,1,1,0,1
61,2019-10-31 03:00:00,2019-11-01 05:00:00,1,1499.2584097968913,1483.7331316407221,1525.1338733905068,1510.2750153398445,timeout,0.06,65.67963325771876,0.7095915082574886,87.5,24,bull,asia,1,1,1,0,1,1,1,1
62,2019-11-05 10:00:00,2019-11-05 18:00:00,-1,1504.0415555678858,1517.349150162915,1481.862231242837,1482.153811983054,tp,0.07,152.72420509382187,1.6447558143232968,75.0,8,bull,london,1,1,1,1,1,0,0,1
63,2019-11-07 14:00:00,2019-11-08 14:00:00,-1,1484.2558385826137,1498.881180620761,1459.8802685190349,1460.1796676009594,tp,0.06,144.03702588992573,1.646195413335054,75.0,23,bear,ny,1,0,1,1,1,0,1,1
64,2019-11-11 19:00:00,2019-11-12 20:00:00,-1,1455.4870138787667,1474.7809100627574,1423.3305202387821,1453.1044524188867,timeout,0.05,11.562807299399903,0.12348783455448134,87.5,24,bear,ny,1,0,1,1,1,1,1,1
65,2019-11-27 18:00:00,2019-11-28 19:00:00,-1,1454.8396597032277,1465.2717949518967,1437.4527676221126,1456.0487644572179,timeout,0.09,-11.511942785912087,-0.11590194386566173,75.0,24,bear,ny,1,0,1,1,1,0,1,1
66,2019-12-04 16:00:00,2019-12-05 17:00:00,-1,1474.8729407031462,1489.3299896641704,1450.7778591014394,1476.5125120118378,timeout,0.06,-10.257427852149176,-0.1134098191900555,75.0,24,bull,ny,1,0,1,1,1,1,0,1
67,2019-12-06 14:00:00,2019-12-09 15:00:00,-1,1474.87189388603,1486.3971391231319,1455.6631518241936,1464.4346869804538,timeout,0.08,82.93765524460963,0.905595212150185,75.0,24,bull,ny,1,0,1,1,1,1,0,1
68,2019-12-11 20:00:00,2019-12-12 16:00:00,1,1470.5490915491482,1461.0433489639615,1486.3919958577926,1486.1397154706895,tp,0.1,155.20623921541238,1.6401268792863126,75.0,19,bull,ny,1,1,1,0,1,0,1,1
69,2019-12-13 11:00:00,2019-12-16 12:00:00,-1,1471.0241440786756,1492.179986395387,1435.7644068841566,1477.5382303436943,timeout,0.05,-32.920431325093524,-0.3079095678394757,75.0,24,bull,london,0,1,1,1,1,1,0,1
70,2019-12-18 20:00:00,2019-12-19 21:00:00,-1,1474.091726477275,1485.7213806093696,1454.7089695904506,1479.9882729999924,timeout,0.08,-47.73237218173978,-0.5070268174566459,75.0,24,bull,ny,1,1,1,1,1,0,0,1
71,2019-12-26 19:00:00,2019-12-27 20:00:00,1,1508.858665833084,1496.2123372152266,1529.9358801961794,1512.8909293005645,timeout,0.08,31.69810773984449,0.31884854405782126,75.0,24,bull,ny,1,0,1,1,1,0,1,1
72,2020-01-02 17:00:00,2020-01-03 11:00:00,1,1529.4437826454975,1517.247537662198,1549.7708576176633,1549.4636848124255,tp,0.08,159.59921733542382,1.6414808159676637,75.0,17,bull,ny,1,0,1,1,1,0,1,1
73,2020-01-06 02:00:00,2020-01-07 03:00:00,1,1569.737348940106,1546.5033015402764,1608.460761273155,1557.5133024336908,timeout,0.04,-49.17618602566043,-0.526126434023924,75.0,24,bull,asia,1,0,1,1,1,0,1,1
74,2020-01-08 23:00:00,2020-01-10 01:00:00,-1,1556.0768431002655,1586.0768431002655,1506.0768431002655,1552.9620672402473,timeout,0.03,9.134327580054595,0.10382586200060663,75.0,24,bull,off,1,1,1,1,1,0,0,1
75,2020-01-21 18:00:00,2020-01-22 19:00:00,-1,1556.9461088539695,1574.0345165120725,1528.4654294237976,1558.0021612079881,timeout,0.06,-6.756314124112049,-0.06179934228792299,75.0,24,range,ny,1,1,1,1,1,0,0,1
76,2020-01-23 08:00:00,2020-01-24 09:00:00,1,1557.6526291924195,1543.7549055837778,1580.815501873489,1559.190383922816,timeout,0.07,10.274283112775501,0.11064795744249237,87.5,24,bull,london,1,1,1,1,1,0,1,1
77,2020-01-31 03:00:00,2020-02-03 04:00:00,1,1574.1840249089,1557.4249925731692,1602.1157454684515,1582.504596385646,timeout,0.06,49.50342886047572,0.49648281058603977,75.0,24,bull,asia,1,0,1,0,1,1,1,1
