signal_id,direction,n_bars,pnl_log,r_multiple,pnl_r,entry_bar,exit_bar
trade_6647,LONG,26,0.0015097558922507028,1.0750960394413294,1.0750960394413294,2023-05-05 00:15:00,2023-05-05 06:30:00
trade_6649,LONG,22,-0.002987600741562655,-1.9811527828387159,-1.9811527828387159,2023-05-05 07:00:00,2023-05-05 12:15:00
trade_6650,SHORT,1,0.003625194724824916,3625.1947248249157,3625.1947248249157,2023-05-05 12:30:00,2023-05-05 12:30:00
trade_6651,LONG,1,0.0003143701346931222,314.37013469312217,314.37013469312217,2023-05-05 12:45:00,2023-05-05 12:45:00
trade_6653,LONG,32,0.0027534333058919992,1.0661698550705159,1.0661698550705159,2023-05-05 13:15:00,2023-05-07 21:00:00
trade_6654,SHORT,12,-0.00012250148038002012,-0.1847640645471334,-0.1847640645471334,2023-05-07 21:15:00,2023-05-08 00:00:00
trade_6656,SHORT,1,-0.0001268529594684092,-126.85295946840921,-126.85295946840921,2023-05-08 03:15:00,2023-05-08 03:15:00
trade_6658,SHORT,1,0.0003033163363624738,303.31633636247386,303.31633636247386,2023-05-08 06:15:00,2023-05-08 06:15:00
trade_6660,SHORT,4,-0.00048428890816064286,-0.6422566352967104,-0.6422566352967104,2023-05-08 07:30:00,2023-05-08 08:15:00
trade_6662,SHORT,1,0.0012903841022250241,1290.3841022250242,1290.3841022250242,2023-05-08 08:45:00,2023-05-08 08:45:00
trade_6664,SHORT,1,-0.0003081287096113085,-308.12870961130847,-308.12870961130847,2023-05-08 09:45:00,2023-05-08 09:45:00
trade_6666,SHORT,1,0.0004208839983655396,420.8839983655396,420.8839983655396,2023-05-08 11:15:00,2023-05-08 11:15:00
trade_6668,LONG,7,-0.0021585841544849507,-1.8342321146526626,-1.8342321146526626,2023-05-08 13:30:00,2023-05-08 15:00:00
trade_6670,SHORT,11,-0.0003458066429336455,-0.49896890172808206,-0.49896890172808206,2023-05-09 00:15:00,2023-05-09 02:45:00
trade_6672,SHORT,5,-0.000564046594284678,-1.0891465094782429,-1.0891465094782429,2023-05-09 05:00:00,2023-05-09 06:00:00
trade_6674,SHORT,4,0.0005692180691441086,1.309909242772779,1.309909242772779,2023-05-09 07:30:00,2023-05-09 08:15:00
trade_6676,SHORT,1,0.0004370888133873555,437.0888133873555,437.0888133873555,2023-05-09 10:00:00,2023-05-09 10:00:00
trade_6678,SHORT,2,-0.00011410861783441777,-0.11828533793275753,-0.11828533793275753,2023-05-09 13:45:00,2023-05-09 14:00:00
trade_6680,SHORT,1,8.665056795761026e-05,86.65056795761026,86.65056795761026,2023-05-09 14:30:00,2023-05-09 14:30:00
trade_6682,SHORT,1,0.00026922998106907765,269.22998106907767,269.22998106907767,2023-05-09 16:30:00,2023-05-09 16:30:00
trade_6684,SHORT,48,0.000442482929430712,0.21200340108552734,0.21200340108552734,2023-05-09 22:15:00,2023-05-10 10:00:00
trade_6686,SHORT,5,-0.004092315086114887,-1.007501002773084,-1.007501002773084,2023-05-10 11:30:00,2023-05-10 12:30:00
trade_6687,LONG,5,-0.0007597764711959305,-0.41687254275939073,-0.41687254275939073,2023-05-10 12:45:00,2023-05-10 13:45:00
trade_6689,LONG,18,-0.0005508801701810343,-0.32348150059931086,-0.32348150059931086,2023-05-10 14:15:00,2023-05-10 18:30:00
trade_6691,LONG,2,0.000637502469144298,3.961340367713354,3.961340367713354,2023-05-10 19:00:00,2023-05-10 19:15:00
trade_6693,LONG,3,-1.3657626077533656e-05,-0.057858040656495587,-0.057858040656495587,2023-05-10 19:45:00,2023-05-10 20:15:00
trade_6695,LONG,3,4.552666383165416e-06,0.28097422865444377,0.28097422865444377,2023-05-10 21:00:00,2023-05-10 21:30:00
trade_6697,LONG,2,0.00016388442542868687,4.24310428137612,4.24310428137612,2023-05-10 22:00:00,2023-05-10 22:15:00
trade_6699,LONG,1,0.0002048214987804745,204.8214987804745,204.8214987804745,2023-05-10 22:45:00,2023-05-10 22:45:00
trade_6701,LONG,5,4.551267756425093e-05,0.12265021659550665,0.12265021659550665,2023-05-10 23:15:00,2023-05-11 00:15:00
trade_6703,LONG,1,0.000691597572395089,691.597572395089,691.597572395089,2023-05-11 00:45:00,2023-05-11 00:45:00
trade_6704,SHORT,1,-0.0001364430216059604,-136.4430216059604,-136.4430216059604,2023-05-11 01:00:00,2023-05-11 01:00:00
trade_6706,SHORT,1,-5.011355276510846e-05,-50.11355276510846,-50.11355276510846,2023-05-11 04:45:00,2023-05-11 04:45:00
trade_6708,SHORT,1,-0.00010020131363194086,-100.20131363194086,-100.20131363194086,2023-05-11 05:15:00,2023-05-11 05:15:00
trade_6710,SHORT,192,0.005150407066798188,1.0617273119821369,1.0617273119821369,2023-05-11 08:00:00,2023-05-15 07:45:00
trade_6712,SHORT,1,0.0003723461759167304,372.34617591673043,372.34617591673043,2023-05-15 08:15:00,2023-05-15 08:15:00
trade_6714,SHORT,1,0.0005564971180474547,556.4971180474547,556.4971180474547,2023-05-15 08:45:00,2023-05-15 08:45:00
trade_6716,SHORT,10,-0.0018954647952133428,-2.6301480514500577,-2.6301480514500577,2023-05-15 09:15:00,2023-05-15 11:30:00
trade_6718,SHORT,1,4.137198703378543e-05,41.37198703378543,41.37198703378543,2023-05-15 12:30:00,2023-05-15 12:30:00
trade_6720,SHORT,1,0.00040451401411164764,404.51401411164767,404.51401411164767,2023-05-15 14:00:00,2023-05-15 14:00:00
trade_6722,SHORT,327,0.009105313786593355,1.3327690844847608,1.3327690844847608,2023-05-15 14:30:00,2023-05-19 00:00:00
trade_6723,LONG,10,-0.0006777772879122853,-0.6962348307091857,-0.6962348307091857,2023-05-19 00:15:00,2023-05-19 02:30:00
trade_6725,LONG,7,-0.0005387030390527388,-1.1886315624632924,-1.1886315624632924,2023-05-19 03:15:00,2023-05-19 04:45:00
trade_6727,LONG,3,0.00040402821316644583,1.294866554457116,1.294866554457116,2023-05-19 05:15:00,2023-05-19 05:45:00
trade_6729,LONG,16,0.001052024316756696,0.6766630463809582,0.6766630463809582,2023-05-19 06:45:00,2023-05-19 10:30:00
trade_6731,LONG,4,0.0013146263309511846,2.621463333681177,2.621463333681177,2023-05-19 11:00:00,2023-05-19 11:45:00
trade_6733,LONG,1,0.0005087552257144539,508.75522571445396,508.75522571445396,2023-05-19 12:15:00,2023-05-19 12:15:00
trade_6735,LONG,100,0.00045776854819806685,0.10970210803408814,0.10970210803408814,2023-05-19 12:45:00,2023-05-22 13:30:00
trade_6737,LONG,6,-0.0009299335143154509,-0.6205707037402768,-0.6205707037402768,2023-05-22 14:00:00,2023-05-22 15:15:00
trade_6738,SHORT,64,0.0011254039094926375,0.4608767381798851,0.4608767381798851,2023-05-22 15:30:00,2023-05-23 07:15:00
trade_6740,SHORT,99,0.001167785927432237,0.32872814604229866,0.32872814604229866,2023-05-23 07:45:00,2023-05-24 08:15:00
trade_6742,SHORT,3,-0.0002829608860247408,-1.516224232169431,-1.516224232169431,2023-05-24 08:45:00,2023-05-24 09:15:00
trade_6744,SHORT,1,0.0002876990131349552,287.6990131349552,287.6990131349552,2023-05-24 09:45:00,2023-05-24 09:45:00
trade_6746,SHORT,13,-0.0027062485328642693,-1.7212186180931843,-1.7212186180931843,2023-05-24 10:15:00,2023-05-24 13:15:00
trade_6748,SHORT,4,0.0013742515742822916,2.957370873802964,2.957370873802964,2023-05-24 13:45:00,2023-05-24 14:30:00
trade_6750,SHORT,5,0.0009993237966514953,1.267619971501225,1.267619971501225,2023-05-24 15:00:00,2023-05-24 16:00:00
trade_6752,SHORT,2,-0.0003673043390180283,-0.45243588025576675,-0.45243588025576675,2023-05-24 16:30:00,2023-05-24 16:45:00
