report_date,vintage_date,mm_long,mm_short,mm_net,open_interest,mm_net_pct,mm_net_pct_z52,producer_long,producer_short,producer_net
2020-07-14T00:00:00+0000,2020-07-17T19:30:00+0000,177400,42427,134973,580175,0.23264187529624683,-1.394576237378243,22532,118784,-96252
2020-07-21T00:00:00+0000,2020-07-24T19:30:00+0000,181256,40987,140269,603138,0.23256534988675892,-1.3470459728160031,23045,123303,-100258
2020-07-28T00:00:00+0000,2020-07-31T19:30:00+0000,159894,42758,117136,598629,0.19567378125683854,-2.045222488505834,20494,110969,-90475
2020-08-04T00:00:00+0000,2020-08-07T19:30:00+0000,165357,51885,113472,561837,0.20196605065170148,-1.8403051185663497,19158,116748,-97590
2020-08-11T00:00:00+0000,2020-08-14T19:30:00+0000,155418,57726,97692,553345,0.17654808482953674,-2.277424636796081,20119,113766,-93647
2020-08-18T00:00:00+0000,2020-08-21T19:30:00+0000,151016,55578,95438,544010,0.17543427510523704,-2.215775126758726,19419,110411,-90992
2020-08-25T00:00:00+0000,2020-08-28T19:30:00+0000,145055,58206,86849,549282,0.15811368295338277,-2.424753420922173,21545,114604,-93059
2020-09-01T00:00:00+0000,2020-09-04T19:30:00+0000,147175,49433,97742,547704,0.1784577070826578,-1.9236751475391085,17887,115747,-97860
2020-09-08T00:00:00+0000,2020-09-11T19:30:00+0000,155528,51236,104292,557457,0.18708528191412074,-1.66810429897525,17766,118943,-101177
2020-09-15T00:00:00+0000,2020-09-18T19:30:00+0000,166571,55473,111098,578925,0.1919039599257244,-1.50840481345892,19681,121622,-101941
2020-09-22T00:00:00+0000,2020-09-25T19:30:00+0000,144670,63222,81448,575877,0.14143297961196574,-2.4058798913178365,20734,113771,-93037
2020-09-29T00:00:00+0000,2020-10-02T19:30:00+0000,140320,45948,94372,562396,0.16780346944146118,-1.782467021295078,18095,114937,-96842
2020-10-06T00:00:00+0000,2020-10-09T19:30:00+0000,139350,44738,94612,555555,0.1703017703017703,-1.6571998532711234,17090,114476,-97386
2020-10-13T00:00:00+0000,2020-10-16T19:30:00+0000,138169,56388,81781,553197,0.1478334119671654,-1.9709228498535643,15637,116151,-100514
2020-10-20T00:00:00+0000,2020-10-23T19:30:00+0000,149108,58543,90565,562993,0.16086345656162687,-1.6427092619289134,16306,117914,-101608
2020-10-27T00:00:00+0000,2020-10-30T19:30:00+0000,149140,47265,101875,560900,0.18162774113032626,-1.2117547279452767,16885,110953,-94068
2020-11-03T00:00:00+0000,2020-11-06T20:30:00+0000,140094,49399,90695,544774,0.1664818805596449,-1.4253259368803686,15422,108060,-92638
2020-11-10T00:00:00+0000,2020-11-13T20:30:00+0000,130105,50322,79783,547449,0.1457359498327698,-1.7132620235568425,15986,108842,-92856
2020-11-17T00:00:00+0000,2020-11-20T20:30:00+0000,139550,49103,90447,557533,0.16222716861602812,-1.3648173610696988,16015,113514,-97499
2020-11-24T00:00:00+0000,2020-11-27T20:30:00+0000,137503,52155,85348,555253,0.15371011052619257,-1.4462644608656747,16425,112076,-95651
2020-12-01T00:00:00+0000,2020-12-04T20:30:00+0000,134446,48903,85543,538042,0.15898944692050063,-1.3018585377362044,18504,119429,-100925
2020-12-08T00:00:00+0000,2020-12-11T20:30:00+0000,147844,49033,98811,549520,0.17981329159994178,-0.916626643498198,15367,118240,-102873
2020-12-15T00:00:00+0000,2020-12-18T20:30:00+0000,151901,50022,101879,550366,0.18511136225711616,-0.7964310687563506,14192,118294,-104102
2020-12-21T00:00:00+0000,2020-12-24T20:30:00+0000,158194,50070,108124,560769,0.1928137967683663,-0.6387017522149747,12636,120377,-107741
2020-12-29T00:00:00+0000,2021-01-01T20:30:00+0000,159673,50678,108995,556414,0.19588831337816806,-0.5592389663203522,12327,117811,-105484
2021-01-05T00:00:00+0000,2021-01-08T20:30:00+0000,167096,50527,116569,568888,0.20490676547932107,-0.3806550539079743,13307,118767,-105460
2021-01-12T00:00:00+0000,2021-01-15T20:30:00+0000,131057,52823,78234,555538,0.14082565009054285,-1.4229000497700042,15210,113944,-98734
2021-01-19T00:00:00+0000,2021-01-22T20:30:00+0000,127161,49090,78071,541330,0.14422071564480077,-1.309876389664248,13477,114372,-100895
2021-01-26T00:00:00+0000,2021-01-29T20:30:00+0000,142815,46416,96399,534574,0.18032863551164105,-0.6675610292078897,10278,113013,-102735
2021-02-02T00:00:00+0000,2021-02-05T20:30:00+0000,137062,49284,87778,520011,0.16880027537879005,-0.8329194669082309,10760,114887,-104127
2021-02-09T00:00:00+0000,2021-02-12T20:30:00+0000,134733,47093,87640,506741,0.17294831087281273,-0.7300094502147854,9490,112486,-102996
2021-02-16T00:00:00+0000,2021-02-19T20:30:00+0000,125997,58041,67956,503016,0.1350970943270194,-1.3619457778076658,11567,111400,-99833
2021-02-23T00:00:00+0000,2021-02-26T20:30:00+0000,125124,56001,69123,481125,0.14366952455183166,-1.1739395256965965,10658,103728,-93070
2021-03-02T00:00:00+0000,2021-03-05T20:30:00+0000,106608,60648,45960,467008,0.09841373167054954,-1.9298281774819324,12025,98920,-86895
2021-03-09T00:00:00+0000,2021-03-12T20:30:00+0000,96223,66793,29430,473871,0.06210550972733086,-2.4854442024171393,14579,96258,-81679
2021-03-16T00:00:00+0000,2021-03-19T19:30:00+0000,100669,59548,41121,476467,0.08630398327691109,-1.9368373120636253,15152,94226,-79074
2021-03-23T00:00:00+0000,2021-03-26T19:30:00+0000,107941,64420,43521,485457,0.08964954671577503,-1.7999452546107442,15470,93043,-77573
2021-03-30T00:00:00+0000,2021-04-02T19:30:00+0000,113009,69936,43073,467321,0.09217005013684385,-1.7066711220547512,16441,89329,-72888
2021-04-06T00:00:00+0000,2021-04-09T19:30:00+0000,121563,55091,66472,463353,0.14345865894900864,-0.7591702012993056,11916,90527,-78611
2021-04-13T00:00:00+0000,2021-04-16T19:30:00+0000,112070,58263,53807,460733,0.11678564374594397,-1.2567125277855704,11585,86637,-75052
2021-04-20T00:00:00+0000,2021-04-23T19:30:00+0000,116843,60419,56424,471738,0.11960876588275696,-1.1819106836467028,11755,87520,-75765
2021-04-27T00:00:00+0000,2021-04-30T19:30:00+0000,117144,66493,50651,473305,0.10701556079061071,-1.4282845663920125,11542,83268,-71726
2021-05-04T00:00:00+0000,2021-05-07T19:30:00+0000,117434,63809,53625,470341,0.11401302459279544,-1.2496331273250176,11043,78286,-67243
2021-05-11T00:00:00+0000,2021-05-14T19:30:00+0000,131295,49680,81615,498693,0.16365780149310297,-0.09942560419596405,16359,87150,-70791
2021-05-18T00:00:00+0000,2021-05-21T19:30:00+0000,141776,49786,91990,520410,0.17676447416460098,0.23961723324628098,18969,84133,-65164
2021-05-25T00:00:00+0000,2021-05-28T19:30:00+0000,143862,36607,107255,510164,0.2102363161649979,1.0454582595030262,12526,90986,-78460
2021-06-01T00:00:00+0000,2021-06-04T19:30:00+0000,147270,37297,109973,489198,0.22480263615141519,1.3771301907336597,11017,80820,-69803
2021-06-08T00:00:00+0000,2021-06-11T19:30:00+0000,145037,37373,107664,491858,0.21889244456733448,1.2106984886144927,13828,78884,-65056
2021-06-15T00:00:00+0000,2021-06-18T19:30:00+0000,138546,41754,96792,480127,0.20159666088347458,0.8141483825903765,15205,79346,-64141
2021-06-22T00:00:00+0000,2021-06-25T19:30:00+0000,110038,47502,62536,453940,0.1377626999162885,-0.6643283892220886,14480,70690,-56210
2021-06-29T00:00:00+0000,2021-07-02T19:30:00+0000,115438,54056,61382,453360,0.13539350626433738,-0.6940160899517247,14517,68972,-54455
2021-07-06T00:00:00+0000,2021-07-09T19:30:00+0000,131218,53258,77960,465811,0.16736401673640167,0.15401216412026192,14158,75008,-60850
2021-07-13T00:00:00+0000,2021-07-16T19:30:00+0000,135938,49647,86291,495798,0.17404467141860194,0.37138132844059024,14757,75926,-61169
2021-07-20T00:00:00+0000,2021-07-23T19:30:00+0000,135163,44735,90428,490520,0.18435130066052352,0.70010832581889,14367,78197,-63830
2021-07-27T00:00:00+0000,2021-07-30T19:30:00+0000,131635,41405,90230,500187,0.18039253319258597,0.6011238641720721,13874,70160,-56286
2021-08-03T00:00:00+0000,2021-08-06T19:30:00+0000,132920,43047,89873,485663,0.18505218639262205,0.7489422636155532,17427,73826,-56399
2021-08-10T00:00:00+0000,2021-08-13T19:30:00+0000,111892,76489,35403,477232,0.07418404465752507,-2.2464039296074843,15344,62975,-47631
2021-08-17T00:00:00+0000,2021-08-20T19:30:00+0000,117272,58194,59078,485485,0.12168862065769283,-0.9220249360779772,14549,66385,-51836
2021-08-24T00:00:00+0000,2021-08-27T19:30:00+0000,126636,51192,75444,504735,0.1494724954679188,-0.1669685740643258,14405,69571,-55166
2021-08-31T00:00:00+0000,2021-09-03T19:30:00+0000,136555,54878,81677,507113,0.1610627217207999,0.1556224490532794,13580,66321,-52741
2021-09-07T00:00:00+0000,2021-09-10T19:30:00+0000,129044,61449,67595,506772,0.13338345449235553,-0.5688801378375262,14223,66798,-52575
2021-09-14T00:00:00+0000,2021-09-17T19:30:00+0000,130837,59615,71222,506356,0.14065598116740002,-0.347328235542403,13149,67186,-54037
2021-09-21T00:00:00+0000,2021-09-24T19:30:00+0000,119777,72933,46844,492765,0.09506356985581363,-1.5395999550970918,15089,61902,-46813
2021-09-28T00:00:00+0000,2021-10-01T19:30:00+0000,118923,88062,30861,490858,0.0628715432976543,-2.235359500779318,18460,60320,-41860
2021-10-05T00:00:00+0000,2021-10-08T19:30:00+0000,126745,72579,54166,483789,0.1119620330350628,-0.9468830573896789,14867,57675,-42808
2021-10-12T00:00:00+0000,2021-10-15T19:30:00+0000,131668,73149,58519,484382,0.12081167343130009,-0.7056320838028362,14259,62099,-47840
2021-10-19T00:00:00+0000,2021-10-22T19:30:00+0000,124560,66761,57799,485974,0.11893434628189986,-0.7295178337561199,12474,63126,-50652
2021-10-26T00:00:00+0000,2021-10-29T19:30:00+0000,141280,54918,86362,509794,0.16940568151057095,0.547846862826325,13505,64600,-51095
2021-11-02T00:00:00+0000,2021-11-05T19:30:00+0000,136944,51705,85239,507616,0.167920238920759,0.5094645368493025,13986,66307,-52321
2021-11-09T00:00:00+0000,2021-11-12T20:30:00+0000,168133,42523,125610,571025,0.21997285582942955,1.7339167144101908,17412,76212,-58800
2021-11-16T00:00:00+0000,2021-11-19T20:30:00+0000,185468,43083,142385,612612,0.2324228059522177,1.9328125982272868,17998,86192,-68194
2021-11-23T00:00:00+0000,2021-11-26T20:30:00+0000,152273,46934,105339,559823,0.1881648306696938,0.8664066595700354,14322,82848,-68526
2021-11-30T00:00:00+0000,2021-12-03T20:30:00+0000,137469,45384,92085,531868,0.17313506358720585,0.5068571374885661,13584,67407,-53823
2021-12-07T00:00:00+0000,2021-12-10T20:30:00+0000,125067,44326,80741,499307,0.1617061246888187,0.24879158481429728,11713,65860,-54147
2021-12-14T00:00:00+0000,2021-12-17T20:30:00+0000,121492,58075,63417,503709,0.12590007325658267,-0.5662757794014196,11823,63346,-51523
2021-12-21T00:00:00+0000,2021-12-24T20:30:00+0000,124120,52372,71748,500846,0.14325361488361693,-0.13680183381340463,11693,67486,-55793
2021-12-28T00:00:00+0000,2021-12-31T20:30:00+0000,130389,46726,83663,508912,0.16439580909862608,0.3842419114785943,11047,69200,-58153
2022-01-04T00:00:00+0000,2022-01-07T20:30:00+0000,124252,44744,79508,502717,0.15815657715971412,0.26051243844376826,11574,65049,-53475
2022-01-11T00:00:00+0000,2022-01-14T20:30:00+0000,119297,44987,74310,546516,0.13597040159848933,-0.27967429143925077,15004,65710,-50706
