signal_id,direction,entry_bar,exit_bar,entry_price,exit_price,stop_loss,take_profit,confluence_score,exit_reason,bars_held,pnl_price,r_multiple,initial_risk
42db6f36-98f,SHORT,2020-07-28 13:45:00,2020-07-28 14:00:00,1934.77,1942.34,1948.16,1908.0,38.79285517661964,regime_shifted,1,-7.57,-0.565,13.39
6a4ca946-e09,LONG,2020-07-28 17:00:00,2020-07-28 17:15:00,1947.82,1948.86,1936.98,1969.5,44.77309352794657,regime_shifted,1,1.04,0.096,10.84
b3289ce4-7f5,LONG,2020-07-28 18:15:00,2020-07-29 01:00:00,1952.24,1959.82,1942.45,1971.82,39.34349197049935,regime_shifted,27,7.58,0.774,9.79
9205c486-779,LONG,2020-07-30 00:00:00,2020-07-30 02:45:00,1966.48,1966.23,1959.14,1981.17,45.155779868808075,time_expired,11,-0.25,-0.034,7.34
80c4e983-6bb,LONG,2020-07-30 05:00:00,2020-07-30 05:30:00,1960.8,1958.98,1954.59,1973.22,37.17525571094715,score_decayed,2,-1.82,-0.293,6.21
5f1987e7-8d3,LONG,2020-07-31 06:30:00,2020-07-31 09:15:00,1972.96,1975.45,1964.87,1989.14,41.28095468612844,time_expired,11,2.49,0.308,8.09
4f375b20-34d,LONG,2020-08-04 23:30:00,2020-08-05 00:00:00,2026.34,2022.27,2017.12,2044.78,52.680987274557836,regime_shifted,2,-4.07,-0.441,9.22
fea0b829-246,LONG,2020-08-05 01:00:00,2020-08-05 02:15:00,2016.89,2013.31,2006.74,2037.19,51.1944790845492,score_decayed,5,-3.58,-0.353,10.15
a457d918-378,LONG,2020-08-05 07:15:00,2020-08-05 11:00:00,2034.38,2039.69,2026.36,2050.42,42.142857142857146,time_expired,15,5.31,0.662,8.02
600f43c2-2e9,LONG,2020-08-05 14:30:00,2020-08-05 14:45:00,2053.25,2045.22,2045.22,2069.31,47.68634159758408,invalidated,1,-8.03,-1.0,8.03
24e8c36f-e83,LONG,2020-08-06 14:45:00,2020-08-06 15:00:00,2060.72,2050.53,2050.53,2081.1,40.8343335149113,invalidated,1,-10.19,-1.0,10.19
c9acf907-f25,LONG,2020-08-06 18:45:00,2020-08-06 23:30:00,2060.62,2068.74,2051.09,2079.67,52.47877931716277,time_expired,19,8.12,0.852,9.53
84c414ed-7e0,SHORT,2020-08-07 15:00:00,2020-08-07 15:15:00,2038.78,2036.88,2053.74,2008.85,40.91417116376671,regime_shifted,1,1.9,0.127,14.96
46b07079-4ed,SHORT,2020-08-07 16:15:00,2020-08-07 16:30:00,2028.6,2025.36,2042.72,2000.36,50.671210555949,regime_shifted,1,3.24,0.229,14.12
87c0a96d-a1a,SHORT,2020-08-07 17:45:00,2020-08-07 19:00:00,2022.19,2032.6,2035.84,1994.89,54.94728570237437,regime_shifted,5,-10.41,-0.763,13.65
ef0be0e2-66a,SHORT,2020-08-11 03:00:00,2020-08-11 05:45:00,2015.93,2008.7,2023.19,2001.42,35.701582557371985,time_expired,11,7.23,0.996,7.26
a7051ea6-423,SHORT,2020-08-11 06:45:00,2020-08-11 09:00:00,1999.6,1994.44,2009.67,1979.46,41.36927305142956,regime_shifted,9,5.16,0.512,10.07
ecf8f647-64c,SHORT,2020-08-11 10:15:00,2020-08-11 10:30:00,1987.55,1986.65,1998.28,1966.08,55.714285714285715,regime_shifted,1,0.9,0.084,10.73
3ed44171-6bb,SHORT,2020-08-11 11:30:00,2020-08-11 11:45:00,1974.22,1978.01,1985.06,1952.54,54.98332085995782,regime_shifted,1,-3.79,-0.35,10.84
4adf13da-fc3,SHORT,2020-08-11 17:30:00,2020-08-11 17:45:00,1934.85,1925.21,1951.93,1900.69,48.46442148260289,regime_shifted,1,9.64,0.564,17.08
e7744a14-2a6,SHORT,2020-08-11 22:45:00,2020-08-11 23:00:00,1926.82,1915.81,1944.25,1891.95,51.069378967092504,regime_shifted,1,11.01,0.632,17.43
c59224a6-5d0,SHORT,2020-08-12 04:45:00,2020-08-12 08:00:00,1881.48,1901.34,1901.34,1841.77,47.21296417376172,invalidated,13,-19.86,-1.0,19.86
55320b5f-79f,LONG,2020-08-13 17:15:00,2020-08-13 17:30:00,1961.15,1961.33,1950.69,1982.07,41.42857142857143,regime_shifted,1,0.18,0.017,10.46
43663545-ff8,SHORT,2020-08-13 18:45:00,2020-08-13 19:00:00,1949.66,1945.55,1962.7,1923.58,36.51447835594914,regime_shifted,1,4.11,0.315,13.04
5c4b3c45-276,LONG,2020-08-17 13:30:00,2020-08-17 14:45:00,1971.88,1988.53,1963.55,1988.53,57.80065078841688,target_reached,5,16.65,1.999,8.33
c742372f-7b2,LONG,2020-08-17 15:45:00,2020-08-17 18:30:00,1985.44,1981.82,1975.57,2005.18,42.0970170214092,time_expired,11,-3.62,-0.367,9.87
106ad96d-af6,LONG,2020-08-17 19:30:00,2020-08-17 22:15:00,1982.01,1981.19,1975.13,1995.78,41.62108799708372,score_decayed,11,-0.82,-0.119,6.88
